"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"San Jose-Sunnyvale-Santa Clara, CA","41940",2018,90,69,19,2,0,0,0,124,63,40,0,1,55,0,34,0
"Sanford, NC","41820",2018,88,59,29,0,0,0,0,83,57,45,0,0,0,0,88,0
"Santa Cruz-Watsonville, CA","42100",2018,59,58,1,0,0,0,0,55,40,34,0,0,36,0,23,0
"Santa Rosa, CA","42220",2018,59,50,9,0,0,0,0,84,59,35,0,0,27,0,32,0
"Savannah, GA","42340",2018,59,53,6,0,0,0,0,75,52,30,0,0,0,26,33,0
"Scottsbluff, NE","42420",2018,19,17,2,0,0,0,0,59,52,21,0,0,0,0,19,0
"Seattle-Tacoma-Bellevue, WA","42660",2018,31,22,9,0,0,0,0,89,70,42,0,8,15,0,8,0
"Sebastian-Vero Beach, FL","42680",2018,58,58,0,0,0,0,0,49,44,39,0,0,58,0,0,0
"Seneca Falls, NY","42900",2018,90,90,0,0,0,0,0,16,0,0,0,0,0,90,0,0
"Seneca, SC","42860",2018,119,102,17,0,0,0,0,90,58,38,0,0,108,0,11,0
"Sevierville, TN","42940",2018,90,85,5,0,0,0,0,87,49,41,0,0,90,0,0,0
"Seymour, IN","42980",2018,90,90,0,0,0,0,0,45,39,31,0,0,90,0,0,0
"Shelton, WA","43220",2018,31,26,5,0,0,0,0,58,56,25,0,0,0,0,31,0
"Sheridan, WY","43260",2018,31,23,8,0,0,0,0,81,61,29,0,0,0,0,31,0
"Show Low, AZ","43320",2018,90,89,1,0,0,0,0,54,47,40,0,0,86,0,0,4
"Shreveport-Bossier City, LA","43340",2018,120,104,16,0,0,0,0,77,54,39,0,0,96,0,24,0
"Sierra Vista-Douglas, AZ","43420",2018,90,85,5,0,0,0,0,63,49,44,0,0,78,0,1,11
"Sioux City, IA-NE-SD","43580",2018,30,26,4,0,0,0,0,62,58,33,0,0,0,0,30,0
"Somerset, PA","43740",2018,59,59,0,0,0,0,0,44,38,31,0,0,59,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2018,89,72,17,0,0,0,0,89,54,33,0,28,28,0,33,0
"Spartanburg, SC","43900",2018,115,94,21,0,0,0,0,74,54,42,0,0,58,0,57,0
"Spokane-Spokane Valley, WA","44060",2018,31,13,18,0,0,0,0,76,64,55,0,0,0,0,29,2
"Springfield, IL","44100",2018,90,72,18,0,0,0,0,72,58,40,0,0,39,0,51,0
"Springfield, MA","44140",2018,90,70,20,0,0,0,0,73,59,42,0,2,54,0,34,0
"Springfield, OH","44220",2018,90,65,25,0,0,0,0,94,61,41,0,0,24,3,63,0
"St. Cloud, MN","41060",2018,90,73,17,0,0,0,0,70,55,31,0,0,0,0,90,0
"St. George, UT","41100",2018,90,90,0,0,0,0,0,47,44,33,0,1,86,0,3,0
"St. Louis, MO-IL","41180",2018,90,66,24,0,0,0,0,86,60,44,0,2,17,0,71,0
"St. Marys, PA","41260",2018,59,59,0,0,0,0,0,44,41,34,0,0,59,0,0,0
"State College, PA","44300",2018,57,57,0,0,0,0,0,44,38,31,0,0,57,0,0,0
"Steamboat Springs, CO","44460",2018,97,97,0,0,0,0,0,49,39,18,0,0,0,0,0,97
"Syracuse, NY","45060",2018,90,82,8,0,0,0,0,74,48,38,0,0,74,0,16,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2018,133,69,60,4,0,0,0,122,78,50,0,0,67,6,58,2
"Terre Haute, IN","45460",2018,92,67,25,0,0,0,0,91,57,40,0,0,39,0,53,0
"Toledo, OH","45780",2018,90,81,9,0,0,0,0,74,51,35,0,0,27,5,58,0
"Trenton, NJ","45940",2018,58,58,0,0,0,0,0,41,36,30,0,0,58,0,0,0
"Truckee-Grass Valley, CA","46020",2018,31,29,2,0,0,0,0,67,49,44,0,0,31,0,0,0
"Tucson, AZ","46060",2018,90,71,19,0,0,0,0,85,56,39,0,0,0,0,0,90
"Tulsa, OK","46140",2018,90,50,40,0,0,0,0,97,73,47,0,0,29,0,61,0
"Tuscaloosa, AL","46220",2018,54,43,11,0,0,0,0,62,54,38,0,0,0,0,54,0
"Twin Falls, ID","46300",2018,90,90,0,0,0,0,0,46,25,16,0,0,0,0,90,0
"Utica-Rome, NY","46540",2018,90,84,6,0,0,0,0,56,48,39,0,0,59,0,31,0
"Valdosta, GA","46660",2018,49,43,6,0,0,0,0,74,52,36,0,0,0,0,49,0
"Vallejo-Fairfield, CA","46700",2018,89,68,20,1,0,0,0,132,63,39,0,1,46,0,42,0
"Vernal, UT","46860",2018,120,97,23,0,0,0,0,84,58,44,0,0,113,0,7,0
"Vincennes, IN","47180",2018,59,59,0,0,0,0,0,44,35,30,0,0,59,0,0,0
"Vineyard Haven, MA","47240",2018,87,87,0,0,0,0,0,45,44,39,0,0,87,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2018,29,27,2,0,0,0,0,65,40,21,0,0,0,0,20,9
"Visalia-Porterville, CA","47300",2018,90,82,8,0,0,0,0,74,50,37,0,0,90,0,0,0
"Wabash, IN","47340",2018,59,59,0,0,0,0,0,44,37,30,0,0,59,0,0,0
"Walla Walla, WA","47460",2018,31,29,2,0,0,0,0,58,44,21,0,0,0,0,27,4
"Walterboro, SC","47500",2018,120,110,10,0,0,0,0,72,49,37,0,0,97,0,23,0
"Warner Robins, GA","47580",2018,39,32,7,0,0,0,0,67,62,29,0,0,0,0,39,0
"Washington Court House, OH","47920",2018,59,59,0,0,0,0,0,44,37,31,0,0,59,0,0,0
"Washington, NC","47820",2018,90,90,0,0,0,0,0,17,7,0,0,0,0,90,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2018,120,83,37,0,0,0,0,79,61,43,0,0,33,0,87,0
"Waterloo-Cedar Falls, IA","47940",2018,120,55,65,0,0,0,0,81,66,52,0,0,19,0,101,0
"Watertown-Fort Drum, NY","48060",2018,28,28,0,0,0,0,0,44,40,35,0,0,28,0,0,0
"Weatherford, OK","48220",2018,90,88,2,0,0,0,0,65,32,18,0,0,0,0,0,90
"Weirton-Steubenville, WV-OH","48260",2018,90,55,35,0,0,0,0,83,62,48,0,0,3,16,65,6
"Wenatchee, WA","48300",2018,31,22,9,0,0,0,0,64,60,43,0,0,0,0,31,0
"Wheeling, WV-OH","48540",2018,90,56,34,0,0,0,0,93,68,44,0,0,21,0,69,0
"Williston, ND","48780",2018,87,76,11,0,0,0,0,68,53,33,0,0,30,0,55,2
"Wilmington, NC","48900",2018,87,85,2,0,0,0,0,56,25,12,0,0,0,0,87,0
"Wilmington, OH","48940",2018,31,31,0,0,0,0,0,45,44,38,0,0,31,0,0,0
"Winchester, VA-WV","49020",2018,30,25,5,0,0,0,0,85,57,23,0,0,0,0,20,10
"Winston-Salem, NC","49180",2018,89,70,19,0,0,0,0,73,56,33,0,1,0,0,88,0
"Worcester, MA-CT","49340",2018,90,75,15,0,0,0,0,73,54,41,0,4,57,0,29,0
"Yakima, WA","49420",2018,31,19,12,0,0,0,0,81,64,45,0,0,0,0,31,0
"Youngstown-Warren-Boardman, OH-PA","49660",2018,90,84,6,0,0,0,0,78,46,36,0,0,54,0,36,0
"Yuma, AZ","49740",2018,90,72,16,2,0,0,0,130,59,44,0,0,54,0,6,30
